"TIME","GEO","MONTH","UNIT","Value","Flag and Footnotes"
"2011","Belgium","January","Number","10,759",""
"2011","Belgium","February","Number","9,739",""
"2011","Belgium","March","Number","10,725",""
"2011","Belgium","April","Number","10,268",""
"2011","Belgium","May","Number","11,116",""
"2011","Belgium","June","Number","10,916",""
"2011","Belgium","July","Number","11,271",""
"2011","Belgium","August","Number","11,445",""
"2011","Belgium","September","Number","11,045",""
"2011","Belgium","October","Number","10,810",""
"2011","Belgium","November","Number","10,061",""
"2011","Belgium","December","Number","10,550",""
"2011","Bulgaria","January","Number","6,084",""
"2011","Bulgaria","February","Number","5,553",""
"2011","Bulgaria","March","Number","5,899",""
"2011","Bulgaria","April","Number","5,572",""
"2011","Bulgaria","May","Number","5,575",""
"2011","Bulgaria","June","Number","5,988",""
"2011","Bulgaria","July","Number","6,567",""
"2011","Bulgaria","August","Number","6,518",""
"2011","Bulgaria","September","Number","6,161",""
"2011","Bulgaria","October","Number","5,859",""
"2011","Bulgaria","November","Number","5,440",""
"2011","Bulgaria","December","Number","5,630",""
"2011","Czechia","January","Number","8,906",""
"2011","Czechia","February","Number","8,525",""
"2011","Czechia","March","Number","9,405",""
"2011","Czechia","April","Number","8,799",""
"2011","Czechia","May","Number","9,248",""
"2011","Czechia","June","Number","9,652",""
"2011","Czechia","July","Number","9,945",""
"2011","Czechia","August","Number","9,662",""
"2011","Czechia","September","Number","9,346",""
"2011","Czechia","October","Number","8,843",""
"2011","Czechia","November","Number","8,044",""
"2011","Czechia","December","Number","8,298",""
"2011","Denmark","January","Number","4,978",""
"2011","Denmark","February","Number","4,466",""
"2011","Denmark","March","Number","4,977",""
"2011","Denmark","April","Number","4,616",""
"2011","Denmark","May","Number","4,972",""
"2011","Denmark","June","Number","5,230",""
"2011","Denmark","July","Number","5,425",""
"2011","Denmark","August","Number","5,455",""
"2011","Denmark","September","Number","5,009",""
"2011","Denmark","October","Number","4,742",""
"2011","Denmark","November","Number","4,603",""
"2011","Denmark","December","Number","4,525",""
"2011","Germany (until 1990 former territory of the FRG)","January","Number","54,802",""
"2011","Germany (until 1990 former territory of the FRG)","February","Number","50,520",""
"2011","Germany (until 1990 former territory of the FRG)","March","Number","53,433",""
"2011","Germany (until 1990 former territory of the FRG)","April","Number","49,791",""
"2011","Germany (until 1990 former territory of the FRG)","May","Number","55,059",""
"2011","Germany (until 1990 former territory of the FRG)","June","Number","56,947",""
"2011","Germany (until 1990 former territory of the FRG)","July","Number","61,169",""
"2011","Germany (until 1990 former territory of the FRG)","August","Number","60,806",""
"2011","Germany (until 1990 former territory of the FRG)","September","Number","60,308",""
"2011","Germany (until 1990 former territory of the FRG)","October","Number","55,937",""
"2011","Germany (until 1990 former territory of the FRG)","November","Number","51,691",""
"2011","Germany (until 1990 former territory of the FRG)","December","Number","52,222",""
"2011","Germany including former GDR","January","Number","54,802",""
"2011","Germany including former GDR","February","Number","50,520",""
"2011","Germany including former GDR","March","Number","53,433",""
"2011","Germany including former GDR","April","Number","49,791",""
